model,region,lead_days,variable,normalized_mse,normalized_rmse
climatology,extratropics,0,sst,0.005358591701628383,0.0732024022941077
climatology,extratropics,0,thetao,0.008439573906043205,0.09186715357538408
climatology,extratropics,0,velocity,0.6052613654141727,0.7779854532150153
climatology,extratropics,0,zos,0.008160030426965472,0.09033288674101737
climatology,extratropics,5,so,0.006094934030684481,0.07807005847752697
climatology,extratropics,5,sst,0.005660413303459486,0.07523571826904749
climatology,extratropics,5,thetao,0.008479307992692139,0.09208315802953404
climatology,extratropics,5,velocity,0.6061052529419565,0.7785276186121829
climatology,extratropics,5,zos,0.008194461620102279,0.09052326562879998
climatology,extratropics,10,so,0.006166854573550209,0.07852932301726667
climatology,extratropics,10,sst,0.006520161054783799,0.08074751423284682
climatology,extratropics,10,thetao,0.008602468918551098,0.0927494955164237
climatology,extratropics,10,velocity,0.6063517711300092,0.7786859258584357
climatology,extratropics,10,zos,0.008232414421409017,0.09073265355652846
climatology,extratropics,15,so,0.006295238101269019,0.07934253651900107
climatology,extratropics,15,sst,0.007955561556636938,0.08919395470903248
climatology,extratropics,15,thetao,0.008802137657473135,0.09381970825723737
climatology,extratropics,15,velocity,0.6059990352547466,0.7784593985910547
climatology,extratropics,15,zos,0.008366760416802985,0.09146999735871313
climatology,extratropics,20,so,0.006459942796575237,0.08037376933163727
climatology,extratropics,20,sst,0.009866341696863928,0.0993294603673247
climatology,extratropics,20,thetao,0.009068725242459203,0.09522985478545687
climatology,extratropics,20,velocity,0.6063036488518634,0.7786550255741392
climatology,extratropics,20,zos,0.00846143355687153,0.09198605088203064
climatology,extratropics,25,so,0.006664857216453991,0.08163857676646495
climatology,extratropics,25,sst,0.012366252469199876,0.1112036531288423
climatology,extratropics,25,thetao,0.009415728075578176,0.09703467460438138
climatology,extratropics,25,velocity,0.6067953912391744,0.7789707255341335
climatology,extratropics,25,zos,0.008639019514161177,0.09294632598527591
climatology,extratropics,30,so,0.006896132403119515,0.08304295516851212
climatology,extratropics,30,sst,0.01547916208375052,0.1244152807485902
climatology,extratropics,30,thetao,0.009840574539757747,0.09919967005871413
climatology,extratropics,30,velocity,0.6078839768942274,0.7796691457882807
climatology,extratropics,30,zos,0.008839540719760133,0.09401883172939415
climatology,global,0,so,0.0058488253638524605,0.0764776134816749
climatology,global,0,sst,0.004692449471960266,0.06850145598423632
climatology,global,0,thetao,0.00712261442068905,0.08439558294537132
climatology,global,0,velocity,0.5455007161123204,0.7385802028976409
climatology,global,0,zos,0.006809747335736145,0.08252119325201342
climatology,global,5,so,0.005880205494800091,0.07668249796922431
climatology,global,5,sst,0.004912050043449055,0.07008601888714364
climatology,global,5,thetao,0.007157469110554987,0.08460182687480801
climatology,global,5,velocity,0.5466161042943019,0.7393349067197503
climatology,global,5,zos,0.0068278760799780165,0.08263096320374111
climatology,global,10,so,0.005958400636449395,0.07719067713428478
climatology,global,10,sst,0.0055211693815171515,0.07430457174035224
climatology,global,10,thetao,0.007262270292162629,0.08521895500510804
climatology,global,10,velocity,0.5503870438208041,0.7418807477086894
climatology,global,10,zos,0.006876125484893074,0.08292240641040921
climatology,global,15,so,0.0060897209708925485,0.07803666427322832
climatology,global,15,sst,0.006563092304412409,0.08101291442981427
climatology,global,15,thetao,0.007436085896363681,0.08623274260026571
climatology,global,15,velocity,0.5554667533410477,0.7452964197827919
climatology,global,15,zos,0.007024876820393838,0.08381453824005618
climatology,global,20,so,0.006257591558982217,0.07910494016799594
climatology,global,20,sst,0.007960967237430791,0.08922425251819592
climatology,global,20,thetao,0.0076655736401458185,0.08755326173333475
climatology,global,20,velocity,0.5612463012044573,0.7491637345763991
climatology,global,20,zos,0.007133686218899863,0.08446115212865535
climatology,global,25,so,0.006463945958178326,0.08039866888312472
climatology,global,25,sst,0.009776565462651822,0.09887651623440129
climatology,global,25,thetao,0.007957539439497112,0.08920504155874326
climatology,global,25,velocity,0.5685241842827602,0.7540054272236774
climatology,global,25,zos,0.007324557925452137,0.08558363117706642
climatology,global,30,so,0.006706132612994178,0.0818909800466094
climatology,global,30,sst,0.012044687851830665,0.10974829316135475
climatology,global,30,thetao,0.008313678959752964,0.09117937793028073
climatology,global,30,velocity,0.5776214661083596,0.7600141223085001
climatology,global,30,zos,0.007547672814454348,0.08687734350481918
