model,region,channel,mse,mean_bias_mse,amplitude_mse,pattern_mse,prediction_temporal_variance,target_temporal_variance
original,tropics,vo_10,0.21635550395015188,0.006974149201487221,0.03544341022154443,0.17393794452712025,0.1512812941650457,0.29751029359761244
original,tropics,vo_11,0.25193979233262986,0.008256180693217485,0.04211193580826743,0.20157167583114496,0.15451643508865914,0.322145163495836
original,tropics,vo_12,0.28778066462824003,0.009426905839926085,0.05150277625109373,0.22685098253722027,0.1590166554503267,0.3576378774205102
original,tropics,vo_13,0.30375197000813037,0.010237609933804235,0.05561267228520409,0.23790168778912205,0.1629063591331575,0.36947456807198015
original,tropics,vo_14,0.29368422464127925,0.011210165576952468,0.053330889564619906,0.22914316949970692,0.17252960628878405,0.37100176023066794
original,tropics,vo_15,0.32147895027965895,0.015441614604956282,0.06068938404507941,0.24534795162962325,0.20799219010722586,0.4325233681845797
original,tropics,vo_16,0.30864338615485526,0.019508316237978895,0.05324776034542242,0.235887309571454,0.21270195155660537,0.41887602440762006
original,tropics,vo_17,0.2573539193764253,0.02165196310169122,0.0391249739170361,0.19657698235769797,0.17253486013479935,0.31744214359468165
original,tropics,vo_18,0.22391105019342805,0.015340713419735407,0.03267050834860555,0.17589982842508708,0.1425830772083354,0.265450782046103
original,tropics,thetao_0,0.0,0.0,0.0,0.0,0.010753789477855387,0.010753789477855387
original,tropics,thetao_1,0.0007284528574874018,0.00031849109034889114,4.576321296055562e-05,0.00036419855417795405,0.010751328305731007,0.010630510819407628
original,tropics,thetao_2,0.0017832169415568674,0.0005331506321556765,0.00030881106960748875,0.0009412552397936999,0.00905437526938447,0.01044928805147907
original,tropics,thetao_3,0.0033714169172279432,0.0008290544704227688,0.0004993721115604815,0.002042990335244692,0.008124571084119953,0.010375614107473867
original,tropics,thetao_4,0.00500927106667572,0.0014038566682853426,0.0006889832436764385,0.002916431154713936,0.009686622492336521,0.012915861603011
original,tropics,thetao_5,0.006033014848026865,0.001839854980981735,0.000794335939988752,0.0033988239270563753,0.013523459950048384,0.017216327896806872
original,tropics,thetao_6,0.006975570441491309,0.002387540381851712,0.0008267431934862177,0.0037612868661533734,0.009437009233594213,0.012769840256248137
original,tropics,thetao_7,0.006736768598391934,0.0029637391576875275,0.0005398566698174485,0.0032331727708869596,0.0047811077225113,0.006135436944488088
original,tropics,thetao_8,0.006076637945220174,0.003109619977951092,0.0003450964831928963,0.002621921484076185,0.0028232825146276355,0.0033794776156559057
original,tropics,thetao_9,0.0052679288002354776,0.002575958856730272,0.00025877950332191507,0.002433190440183289,0.0023565917243919235,0.0023854607823139634
original,tropics,thetao_10,0.00454075492497775,0.0020137719049081655,0.0002433968560448533,0.002283586164024734,0.0022009781671336257,0.002004143718935543
original,tropics,thetao_11,0.0035864241240448316,0.0014511126995779035,0.00027148190325960276,0.0018638295212073243,0.0018090983443683926,0.0014624305047677053
original,tropics,thetao_12,0.00348857798079205,0.001843744966936964,0.0003265688222055191,0.0013182641916495727,0.0013962605468077036,0.0008447769038505539
original,tropics,thetao_13,0.003959210619502292,0.0026518552835010497,0.00032346969489048614,0.0009838856411107494,0.0010950737641521786,0.0005488688971099257
original,tropics,thetao_14,0.002721478067130224,0.001646107210061182,0.00042685031702973346,0.0006485205400393086,0.0009827977307348098,0.00022980130393914858
original,tropics,thetao_15,0.0023695648993721013,0.0012660004359562596,0.0006154885688471519,0.00048807589456869075,0.0010488075245428424,0.00010674484143556267
original,tropics,thetao_16,0.003922936475235084,0.00219931067721515,0.0010362803546207883,0.0006873454433991577,0.0016064089719607028,0.00016030285683409385
original,tropics,thetao_17,0.004085507695521197,0.0020786367584243394,0.0014147867949836199,0.0005920841421132217,0.0019247877217482608,9.840778793155573e-05
original,tropics,thetao_18,0.0038196996510693375,0.0018116321698008586,0.0014377276266512838,0.0005703398546171846,0.0019270753304434982,6.382428024516082e-05
