reference,candidate,region,lead_days,variable,origins,years,bootstrap_draws,reference_rmse,candidate_rmse,candidate_minus_reference_rmse,difference_ci_low,difference_ci_high,rmse_reduction_percent,reduction_ci_low,reduction_ci_high
A-s2718,D-s2718,global,20,sst,99,9,4000,0.038468183886737825,0.03813034533708077,-0.000337838549657056,-0.0004192141561788831,-0.0002422834813879126,0.8782284878635194,0.6305203933858934,1.0882643274567676
A-s2718,D-s2718,global,20,thetao,99,9,4000,0.07246167826859692,0.06552383421383896,-0.006937844054757961,-0.00765204249023208,-0.006132426668015437,9.574500923151607,8.336048332367493,10.70179381985865
A-s2718,D-s2718,global,20,ts,99,9,4000,0.07437359058015214,0.06696152230569365,-0.0074120682744584915,-0.008128725541554369,-0.006661981988166586,9.965994940731726,8.828211057696326,11.04845460520347
A-s2718,D-s2718,global,20,uo,99,9,4000,0.4953802783715008,0.4672152448788949,-0.028165033492605906,-0.030081068555190188,-0.026472094704129367,5.6855379033648346,5.374042173698259,6.028289513221122
A-s2718,D-s2718,global,20,vo,99,9,4000,0.5403426595101795,0.5199491968181825,-0.020393462691996933,-0.02101676040890332,-0.01985507855276445,3.7741722466413496,3.676066444423984,3.8823652866340512
A-s2718,D-s2718,global,20,zos,99,9,4000,0.042566981824733084,0.041379292912556064,-0.0011876889121770207,-0.0013362051493196708,-0.0010446834887795618,2.790164726893851,2.46746276064681,3.1251407589600118
A-s2718,D-s2718,global,25,so,99,9,4000,0.07688210202628674,0.06943758206675602,-0.007444519959530729,-0.00815175486106341,-0.006757498433572016,9.68303384445105,8.6779186382506,10.706070313057964
A-s2718,D-s2718,global,25,sst,99,9,4000,0.04152370936380272,0.041214945178626984,-0.0003087641851757389,-0.0003676928412474842,-0.0002458207169461957,0.7435852670833354,0.5941525856556867,0.8847098176541818
A-s2718,D-s2718,global,25,thetao,99,9,4000,0.07354495120393012,0.0669507079858103,-0.0065942432181198135,-0.007296244874586171,-0.005806664763702052,8.966275876415875,7.774762683509822,10.040600673337643
A-s2718,D-s2718,global,25,ts,99,9,4000,0.07523203260436614,0.06820548036293976,-0.007026552241426384,-0.007722207231007781,-0.00629209685382143,9.339841020085093,8.245011828846192,10.371703023926397
A-s2718,D-s2718,global,25,uo,99,9,4000,0.5071359601829823,0.48238039935059474,-0.024755560832387613,-0.026634327688371227,-0.02309022008362405,4.881444578186766,4.5807515616513585,5.209215121634318
A-s2718,D-s2718,global,25,vo,99,9,4000,0.5614428909015667,0.5430399825618855,-0.01840290833968128,-0.01906751298404701,-0.017777535189156656,3.277788113075908,3.179787529318512,3.381020601293154
A-s2718,D-s2718,global,25,zos,99,9,4000,0.045145985624125196,0.0440413599855282,-0.0011046256385969927,-0.0013262001657294803,-0.0008762607797540361,2.446785961865683,1.958152456529674,2.918579319016493
A-s2718,D-s2718,global,30,so,99,9,4000,0.07755872292267728,0.0705441700736734,-0.0070145528490038744,-0.007708379652727054,-0.006331409407709394,9.044183019873964,8.059815717119356,10.039291214179638
A-s2718,D-s2718,global,30,sst,99,9,4000,0.04440307378843344,0.04406867282498826,-0.0003344009634451764,-0.00041668896952998106,-0.0002476272218968688,0.7531031861408799,0.5593573408139163,0.9337062778785522
A-s2718,D-s2718,global,30,thetao,99,9,4000,0.0746714782449926,0.06839406908664956,-0.006277409158343031,-0.006962467655104026,-0.005501134852403652,8.406702674007915,7.258610162755872,9.438109512371353
A-s2718,D-s2718,global,30,ts,99,9,4000,0.07612878944489075,0.0694774374081714,-0.006651352036719349,-0.007335500762254222,-0.005919882554851718,8.736973338495325,7.67323753427517,9.73524077950287
A-s2718,D-s2718,global,30,uo,99,9,4000,0.5189392888761267,0.49702321729336246,-0.021916071582764263,-0.023630019439304775,-0.020312762984325813,4.223243846159375,3.9441115945924268,4.5184827126580505
A-s2718,D-s2718,global,30,vo,99,9,4000,0.5819043483294244,0.5652687072379017,-0.016635641091522713,-0.017317348623110376,-0.015949273777832014,2.8588274240056055,2.7505712548865526,2.95978624494517
A-s2718,D-s2718,global,30,zos,99,9,4000,0.04777852732075475,0.04670007512761458,-0.001078452193140171,-0.0012764344123295064,-0.0008614513581792717,2.257190109481877,1.8144829818751533,2.642798588726807
A-s2718,D-s2718,tropics,0,so,99,9,4000,0.07399765882151411,0.06420257664505562,-0.009795082176458497,-0.01065123206699639,-0.009018479839142139,13.237016322482177,12.077179419829658,14.540673390464148
A-s2718,D-s2718,tropics,0,sst,99,9,4000,0.0,0.0,0.0,0.0,0.0,,,
A-s2718,D-s2718,tropics,0,thetao,99,9,4000,0.06318867597551973,0.05228370680090815,-0.010904969174611583,-0.01162950387179576,-0.010275051035416009,17.25779027058002,16.277650547497384,18.34694344039974
