model,mode,region,lead_days,variable,normalized_rmse,levels,origins
direct,climatology,extratropics,15,uo,0.6900037526400353,19,99
direct,climatology,extratropics,15,vo,0.8574451772196329,19,99
direct,climatology,extratropics,15,zos,0.0904180735551498,1,99
direct,climatology,extratropics,20,so,0.07776024654812437,19,99
direct,climatology,extratropics,20,sst,0.07122408178494277,1,99
direct,climatology,extratropics,20,thetao,0.09170368607102192,18,99
direct,climatology,extratropics,20,uo,0.6903955443627035,19,99
direct,climatology,extratropics,20,vo,0.8567836422639872,19,99
direct,climatology,extratropics,20,zos,0.09022469200265096,1,99
direct,climatology,extratropics,25,so,0.07788612680775185,19,99
direct,climatology,extratropics,25,sst,0.07256555177331624,1,99
direct,climatology,extratropics,25,thetao,0.09187591139780336,18,99
direct,climatology,extratropics,25,uo,0.6903614915552616,19,99
direct,climatology,extratropics,25,vo,0.8563977976772311,19,99
direct,climatology,extratropics,25,zos,0.0904836876549467,1,99
direct,climatology,extratropics,30,so,0.07797176264748669,19,99
direct,climatology,extratropics,30,sst,0.07314194176830574,1,99
direct,climatology,extratropics,30,thetao,0.09198532301325942,18,99
direct,climatology,extratropics,30,uo,0.69013791069662,19,99
direct,climatology,extratropics,30,vo,0.8576966647899718,19,99
direct,climatology,extratropics,30,zos,0.09054624057807538,1,99
direct,climatology,global,5,so,0.07644210414477337,19,99
direct,climatology,global,5,sst,0.06835929325643829,1,99
direct,climatology,global,5,thetao,0.0844336950362575,18,99
direct,climatology,global,5,uo,0.6853895740507499,19,99
direct,climatology,global,5,vo,0.7899205729045795,19,99
direct,climatology,global,5,zos,0.08262124930873885,1,99
